uniqueIdeaIndex,idea
m2kl2c8t826yw-HMNH-2-1,a toy plane/sea plane that teaches children about aerodynamics by working (e.g. propellors run) when positioned at the correct angle of attack
m2kl2c8t826yw-HMNH-2-2,building blocks that float so that children can design cities or houses on water in the bath or swimming pool
m2kl2c8t826yw-HMNH-2-3,robotic fish fins to help children swim faster like a shark in a swimming pool with the ability for an adult to control speed
m2kl590rftz6l-AINH-6-1,Design of an interactive Popeye toy with propulsion mechanisms like wheel & axel. it is very important to take note of safety measures and avoids micro parts that could cause choking or other hazards. %The toy could be designed to make mimic of sounds while also moving in a restricted or confined space.
m2kl590rftz6l-AINH-6-2,"Design of a drone with simplified controls that lets children capture footages , fostering creativity, spatial awareness, geographical knowledge and general of their environment, The design is basic but it can be enhanced to specification of children between 5-11 years."
m2kl590rftz6l-AINH-6-3,"Design of a mobile boat with propeller, an inbuilt Ai voice clone program to simulate the voice of a captain/sailor reciting poems, mimicking notable people or engaging in simulating tasks for children to carry out. This interactive toy will enhance the creative ability of children. While the design is very basic, it is an important design project towards shaping minds and brains of children as they grow"
m2km9f17wsih7-HMNH-10-1,"A mini speed boat for families with access to water. With enclosed mechanical parts for safety and strong advisories in the instructions, your child can freely explore the ocean at high speeds."
m2km9f17wsih7-HMNH-10-2,"Battle Ducks. Heavy-duty remote controlled rubber ducks designed for bumper car style battles. Internal sensors track hits and play a noise from the handset. No one loses and no one wins, you just smash ducks together."
m2km9f17wsih7-HMNH-10-3,"Extremely floatable ball. Made of scientifically tested materials of names no one can pronounce, the ball is aggressively buoyant and will fly out of the water at high speeds if held underneath. Noses were broken during the testing of this product but it was so fun it was signed off for production."
m2km9urgtfvr1-AINH-14-1,Aqua rover - a thrilling and innovative toy that combines movement and buoyancy for a captivating playtime.  It has a dual propeller system and can glide across floors and float on water surfaces.  Kids can move it in different directions.
m2km9urgtfvr1-AINH-14-2,"dolphin skimmer, it can swim in water of skim across land, exploring the environment. it responds to hand gestures making playtime fun"
m2km9urgtfvr1-AINH-14-3,turtle trekker - a friendly tutle that can scuttle across many different surfaces and can float and swim in water.  it has sensors so can avoid obstacles and make its own decisions.  it has cheerful sound affects and LEDs to enhance play
m2kmbp7tre4do-AINH-22-1,"AquaHelixFunDrone-toy is an innovative floating toy with whimsical flying saucer shape. It has a diameter of 8 inches, a compact and light weight body, a durable and high-quality foam rims to ensure buoyancy, a vibrant LED lights that captures children attention, and a soft silicon propeller system for flying and hovering with captivating child friendly aesthetics."
m2kmbp7tre4do-AINH-22-2,"SplashTrackAdventure-Ring a gyroscopic ring-toy with hovercraft racing and swimming abilities. It is shapped like a donut with a diameter of 8 inches. It is constructed from durable lightweight plastic and has a thumb-operated, waterproof engine turbine and dynamic child-friendly LED lights."
m2kmbp7tre4do-AINH-22-3,HoverGlider-toy with smart auto-stabilising gyros and waterproof propulsion turbine. Made from Expanded Polypropylene foam with LED lights and silicone bumpers.
m2kmr7tedqf4m-HMNH-26-1,"A car and a boat toy combined. This is almost a take on chitty chitty bang bang. So the car would move around using a remote and the child can then change this into a boat so it can go into open water, like lakes, the sea, a bath, a paddling pool, etc."
m2kmr7tedqf4m-HMNH-26-2,"a duck that both walks around and floats, but this could be controlled via voice control and so can help children to also learn to give instructions and speak e.g. they say ducky, run faster or ducky, swim mode. it can then be taken outside in the garden, in the bath or swimming pool, etc"
m2kmr7tedqf4m-HMNH-26-3,"An airplane toy that can be controlled via your phone or a remote control that flies around, and can land on water."
m2kmtdclsf1zz-AINH-30-1,"The AquaScoot is a hybrid water-scooter designed for kids between the ages of 5-11. It's a small lightweight scooter that transforms into a floating ride-on toy for the water. The base has built-in buoyant sections, so when it hits water, it floats! On land, it's a smooth scooter with adjustable wheels that kids can ride, while in water, the wheels retract and the bottom becomes a stable platform. Children can paddle with their feet to move, or use special detachable hand paddles to scoot across the water. Bright, colourful, and easy to maneuver, it brings fun to both pools and playgrounds."
