uniqueIdeaIndex,idea
m2kkqo5zi6gmq-HMNL-1-1,"A transformer toy which can be manipulated to be a car or a boat. Starting as a car, the wheels can be rotated inwards, and the sides of the car pushed in to create a boat. The opposite can be done to manipulate the boat and turn it back into a car."
m2kkqo5zi6gmq-HMNL-1-2,"A toy that can be flipped vertically, with a car on one side and a boat on the other side. The two parts can be connected and disconnected with a plug-type mechanism."
m2kkqo5zi6gmq-HMNL-1-3,"A boat with a small toy car attached within the boat, mimicking a boat that ships cars. The car can be disconnected from the boat to be played with separately."
m2kl3jo2fxe83-AINL-5-1,"Introducing the AR Gaming Hydrocar - This toy integrates augmented reality into a hybrid vehicle. AR goggles project interactive game scenarios into real world surroundings. The child can wear the AR goggles which sync to a camera on the remote controlled car, which is an amphibious car, allowing it to also sail on water like a boat!"
m2kl3jo2fxe83-AINL-5-2,Sea Eco Fairer Kit - This toy is designed to teach children about environmentally friendly energy sources through play. Also combines a science and technology element too. This car is amphibious and can sail on water and drive on land. It is powered by solar energy through solar panels which the children can attach to the car themselves. The toy is also fully made from recycled materials
m2kl3jo2fxe83-AINL-5-3,Floating Race Track Set - This toy involves children creating their own race track which can include land based and water based elements. This is achieved through thje children placing waypoints or checkpoints that the car/boat must pass to complete the race. The remote control car can retract its wheels and deploy a propellar for water sections of the race
m2km9dmge4d18-HMNL-9-1,River Rover - a dual-action toy that switches from a Land Rover to a boat.  this toy should have a hinge system to retract the tyres to turn the car into a boat. this toy should be made of plastic to ensure it is able to switch from land to water.  it should be accessorised with headlights and windows like a car and be complete with a detachable sail like a boat.
m2km9dmge4d18-HMNL-9-2,"River Racer - a combination of a racing boat and a racing car, composed of bright colours and sporty decals"
m2km9dmge4d18-HMNL-9-3,From river to road - a small car/boat  with a detachable sail like a boat and bright colours to appeal to kids  hinges to retract the tires and transform the car into a boat
m2km9n1tcpq18-AINL-13-1,HydroRacer 5000. This toy blends the thrill of racing cars with the adventurous spirit of boating. It features a sleek aerodynamic design
m2km9n1tcpq18-AINL-13-2,BathCruiser Turbo. This toy combines the excitement of a speedy car with the fun of a boat specially created for bath time. It floats effortlessly in the water whilst having robust wheels to enable it to roll around the edges of the bath. Vibrant colours and waterproof decals capture kids imaginations.
m2km9n1tcpq18-AINL-13-3,AquaRally cruiser. This is a dynamic remote control toy that merges the capabilities of a high speed car with those of a boa with a rugged exterior but amphibious design allowing for transition between land and water.
m2kmb8c916li7-AINL-21-1,A car can transform into a boat when it is on water and a car when it is on land.
m2kmb8c916li7-AINL-21-2,A do it yourself building kit for kids. It encourages creativity for kids where they can build their own boat and car.
m2kmb8c916li7-AINL-21-3,A rescue adventure play set where the car can tow the boat on land and the boat can tow the car on water.
m2kmrlphygt7l-AINL-29-1,"The Transforming Amphibious Vehicle Toy: Features a dynamic car-to-boat conversion, retractable wheels, and expanding fins. It comes with a floating race track, creating thrilling water-surface racing adventures, enhanced by bright colours and sound effect"
m2kmrlphygt7l-AINL-29-2,"The SpeedRacer Hybrid: A sleek toy that morphs from an Formula 1 car to a speedboat, featuring aerodynamic fins, and a vibrant design for thrilling land and water play adventures."
m2kmrlphygt7l-AINL-29-3,"The AquaDrive Convertible: A floating toy car with pedal-powered movement, a steering wheel for navigation, and a detachable roof doubling as a kayak paddle, offering dual adventures in  the pool."
m2kmyrigc36la-HMNL-33-1,"I will design a toy car that can work in floor and also in water, to have the shape of a boat. It can be played with in both land and water. I will call it Caraqua."
m2kmyrigc36la-HMNL-33-2,I will design a transformer car that can transform into a boat. Inspiration is from the movie transformer but none of the cars transforms into a boat. This would be a cool feature for kids. I will call it Aquashifter
m2kmyrigc36la-HMNL-33-3,"I will design a car by making the front to have the shape of a boat and the back to have the shape of a car, this would be appealing to kids as well. It will look like a scifi design, with a vibrant colour."
m2kndjq851wkj-HMNL-41-1,"Presenting the AquaRacer : this cool toy combines the sleek lines of a speedboat with that of a sports car. The wheels fold away when not in use, revealing fins on the reverse of the wheel so the boat can steer. Fully waterproof and floats in the bath, so your child can enjoy the AquaRacer at any time."
m2kndjq851wkj-HMNL-41-2,"The latest innovation in toys, presenting the Mighty Mover! This rugged amphibian vehicle, presented in camouflage colours, has fully moveable wheels and will float in water. It shoots small foam darts to fully emphasise its tough credentials - nobody will want to mess with this floating tank!"
m2kndjq851wkj-HMNL-41-3,"You've heard of Formula One, now get ready for Formula B! This F1-inspired car design can clip into the hull of a speedboat, making a toy that's versatile and looks cool. Kids will love it and want to play with it! Comes in a variety of colours and boat hulls so you can mix and match your favourite colours and designs, so whether you're on land on on the water, you'll be a champion with Formula B."
m2knoj3zpaab0-AINL-45-1,aquaracer  aquaracer is a aerodynamic toy which can transition between land and water with rectranle wheels. in water the wheels rectract and it becomes a boat
m2knoj3zpaab0-AINL-45-2,hydro cruiser  the hydro cruiser has rectrable rudder and propellers for smooth water navigation. out side of the water it has sturdy rubber wheels for effortless use
m2knoj3zpaab0-AINL-45-3,"wave runner express this amazing toy has an adjustable suspension system allowing it ot various terrain with ease,on water or land"
m2knudkb7fk0d-HMNL-49-1,"a car and a boat could be combined to make a fun, amphibious vehicle, a sail could be added for extra speed and stability."
