uniqueIdeaIndex,idea
m2kl3701ioyue-HMRH-4-1,"A pre-programmable electric skateboard which would allow kids to enter how many meters they want to travel before stopping, climbing on the skateboard and simply pressing go."
m2kl3701ioyue-HMRH-4-2,Hide-and-seek timers.  Each kid who hides wears a device which starts timing once the game begins.  The seeker will then rush to fund the kids who are hiding and each time they are found the timer will stop.  The kid with the longest accumulated hiding time after 10 rounds is the winner.
m2kl3701ioyue-HMRH-4-3,Race timer.  A kid friendly wearable device which will time how long a kid takes to run a certain distance.
m2kl678edtegg-AIRH-8-1,"Toy shop
Combines mobility and computation as children can stand and serve customers and stock the shop using pretend food items. For computation, there can be a till that allows children to calculate the price of the food."
m2kl678edtegg-AIRH-8-2,"Smart construction set 
use motorized components such as vehicles. Children can learn coding through creating sequences that make the vehicles move. hands on innovation"
m2kl678edtegg-AIRH-8-3,"exercise mat
with embedded sensors and led lights to create a fun exercise experience. Children could follow sequences on a mat such as maths games where they have to step on squares that are a certain number"
m2km9mn7fdjot-HMRH-12-1,"The first idea is a scooter which the child powers up by completing fun maths activities on a bluetooth linked phone or ipad. Completed tasks earn battery life, and bonuses earn sounds and lights."
m2km9mn7fdjot-HMRH-12-2,"This is a pogo stick which bounces higher the more maths tasks are completed, using a voice input. The stick is auto stabilised to avoid children falling off."
m2km9mn7fdjot-HMRH-12-3,"This is a car simulator, which goes on a virtual journey as part of a quest story, based on the geography curriculum. Children complete tasks and answer quizzes alongside a virtual animal companion."
m2kmaynyn75op-HMRH-20-1,"wheels in motion children can adapt ride- on cars to explore their surroundings ,eg a car that is able to move around"
m2kmaynyn75op-HMRH-20-2,speed in motion.one can design a well structured toy maybe a jeep toy car and the kid can play around with
m2kmaynyn75op-HMRH-20-3,also a one can have a toy like a bicycle that uses speed to move around and a child can comfortably use it
m2kmgxflc8x64-AIRH-24-1,"MathQuest: A scavenger hunt where children receive math clues to locate hidden items, in a large area, like a field. Like a normal scavenger hunt, they answer clues to get the prize!"
m2kmgxflc8x64-AIRH-24-2,"The Puzzle Racer: A toy car that runs on a track, powered by answering maths problems. The child will use a remote control to drive the car, but it only accelerates when they solve a maths question on a remote screen/app. If they fail, it decelerates. The car will always go at a speed, faster if questions answered correctly, slower if answered wrongly. This can make time trials between friends, racing to get the best time!"
m2kmgxflc8x64-AIRH-24-3,"Math Tag: An active play toy that combines the classic game of tag with interactive educational math challenges. To unfreeze, they have to solve the problem. The game ends after a time limit, or when all people are frozen."
