"uniqueIdeaIndex","idea"
"m2kl2l6b5k0ie-HMRL-3-1","Screens intergrated into the back of car seats that allow you to play games will in the car. Like a tv in cars, this screen is functional and allows kids to play their games while in the car"
"m2kl2l6b5k0ie-HMRL-3-2","A computerized car for children. Car is fully robotic and allows the child to control and select various modes. Car is small and to be used on sidewalks, closed streets."
"m2kl2l6b5k0ie-HMRL-3-3","Virtual car in a computer. Using virtual reality, kids can simulate driving through a computer program. Using a wheel and pedals, kids can learn to drive in safe enviornment."
"m2kl5d7b9kfdx-AIRL-7-1","The Techno Cruiser is a combo car and computer for aged 5 - 10 children. Engaging lights and sounds will be utilized to captivate kids. An interactive touch screen could be added to introduce kids to early programming concepts. This screen will have puzzles and games to motivate the kids to engage as much as possible with a programming-like system while having fun playing with the car."
"m2kl5d7b9kfdx-AIRL-7-2","Race Realm will be a gaming system that combines a racing car with computer and video games. The game will have a separate remote control shaped like a wheel that connects to a computer console. Connecting to a computer console instead of a phone will allow for a higher level of computation and programming to run the game. This game will have unique racetracks and challenges that adapt using AI to challenge the kids as they level up and improve their racing skills. Rewards include special upgrades, customizations, and characters. This game will encourage creativity and innovation in a fun, exciting environment."
"m2kl5d7b9kfdx-AIRL-7-3","To ensure that the market has an option for female children to engage with there is Glamour Drive; a game designed for girls 10 - 14 where girls will play a driving simulator where they can drive their customizable character around a cute beach town. Challenges will include customizing NPC's cars, helping the characters' friends make it to their events on time, and racing against opponents. This will be available on the computer console and will utilize a fun soundtrack and special outfits and cars to unlock as they advance the storyline. This will encourage creativity and exploration in an environment that is ultimately fun and rewarding to be in."
"m2km9eeclwey6-HMRL-11-1","Toby the CarCompie, pi based computer in car shell with remote to control and programme so kids can learn and pay at the same time."
"m2km9eeclwey6-HMRL-11-2","Tablet and car, app for controlling a small car, learn simple coding and navigating apps which could include fun learning. Monitization for additional features and learning.   Car City, Car on the Go. Brum Brum City."
"m2km9eeclwey6-HMRL-11-3","App based game for car that has to get from A to B to deliver computers or small machines, learning and play with links in to collect data for re-sale.  Car delivery service. Car wiz, Wizard car."
"m2kma07gm62x5-AIRL-15-1","Robo racer interactive car.  A smart toy car with a programmable microntroller.  Children can use simple programming to code commands and maneuvers. Encourages STEM skills through interactive, hands on play so it's educational and entertaining."
"m2kma07gm62x5-AIRL-15-2","Tech mobile playet. This is a set of smart cars with interchangeable parts. The cars can be interacted with via an app on a child friendly tablet.  Children can design digital racetracks and learn about velocity, friction and energy in a fun envirmonment."
"m2kma07gm62x5-AIRL-15-3","Code and cruise arcade car. Car shaped console including a screen where children can take part in virtual races whilst learning about basic coding. Children can solve coding puzzles and use a physical joystick for tactile experience. Different levels means it can hold children's attention as they grow."
