uniqueIdeaIndex,idea
m2kkqo5zi6gmq-HMNL-1-1,"A transformer toy which can be manipulated to be a car or a boat. Starting as a car, the wheels can be rotated inwards, and the sides of the car pushed in to create a boat. The opposite can be done to manipulate the boat and turn it back into a car."
m2kkqo5zi6gmq-HMNL-1-2,"A toy that can be flipped vertically, with a car on one side and a boat on the other side. The two parts can be connected and disconnected with a plug-type mechanism."
m2kkqo5zi6gmq-HMNL-1-3,"A boat with a small toy car attached within the boat, mimicking a boat that ships cars. The car can be disconnected from the boat to be played with separately."
m2kl2c8t826yw-HMNH-2-1,a toy plane/sea plane that teaches children about aerodynamics by working (e.g. propellors run) when positioned at the correct angle of attack
m2kl2c8t826yw-HMNH-2-2,building blocks that float so that children can design cities or houses on water in the bath or swimming pool
m2kl2c8t826yw-HMNH-2-3,robotic fish fins to help children swim faster like a shark in a swimming pool with the ability for an adult to control speed
m2kl2l6b5k0ie-HMRL-3-1,"Screens intergrated into the back of car seats that allow you to play games will in the car. Like a tv in cars, this screen is functional and allows kids to play their games while in the car"
m2kl2l6b5k0ie-HMRL-3-2,"A computerized car for children. Car is fully robotic and allows the child to control and select various modes. Car is small and to be used on sidewalks, closed streets."
m2kl2l6b5k0ie-HMRL-3-3,"Virtual car in a computer. Using virtual reality, kids can simulate driving through a computer program. Using a wheel and pedals, kids can learn to drive in safe enviornment."
m2kl3701ioyue-HMRH-4-1,"A pre-programmable electric skateboard which would allow kids to enter how many meters they want to travel before stopping, climbing on the skateboard and simply pressing go."
m2kl3701ioyue-HMRH-4-2,Hide-and-seek timers.  Each kid who hides wears a device which starts timing once the game begins.  The seeker will then rush to fund the kids who are hiding and each time they are found the timer will stop.  The kid with the longest accumulated hiding time after 10 rounds is the winner.
m2kl3701ioyue-HMRH-4-3,Race timer.  A kid friendly wearable device which will time how long a kid takes to run a certain distance.
m2kl3jo2fxe83-AINL-5-1,"Introducing the AR Gaming Hydrocar - This toy integrates augmented reality into a hybrid vehicle. AR goggles project interactive game scenarios into real world surroundings. The child can wear the AR goggles which sync to a camera on the remote controlled car, which is an amphibious car, allowing it to also sail on water like a boat!"
m2kl3jo2fxe83-AINL-5-2,Sea Eco Fairer Kit - This toy is designed to teach children about environmentally friendly energy sources through play. Also combines a science and technology element too. This car is amphibious and can sail on water and drive on land. It is powered by solar energy through solar panels which the children can attach to the car themselves. The toy is also fully made from recycled materials
m2kl3jo2fxe83-AINL-5-3,Floating Race Track Set - This toy involves children creating their own race track which can include land based and water based elements. This is achieved through thje children placing waypoints or checkpoints that the car/boat must pass to complete the race. The remote control car can retract its wheels and deploy a propellar for water sections of the race
m2kl590rftz6l-AINH-6-1,Design of an interactive Popeye toy with propulsion mechanisms like wheel & axel. it is very important to take note of safety measures and avoids micro parts that could cause choking or other hazards. %The toy could be designed to make mimic of sounds while also moving in a restricted or confined space.
m2kl590rftz6l-AINH-6-2,"Design of a drone with simplified controls that lets children capture footages , fostering creativity, spatial awareness, geographical knowledge and general of their environment, The design is basic but it can be enhanced to specification of children between 5-11 years."
m2kl590rftz6l-AINH-6-3,"Design of a mobile boat with propeller, an inbuilt Ai voice clone program to simulate the voice of a captain/sailor reciting poems, mimicking notable people or engaging in simulating tasks for children to carry out. This interactive toy will enhance the creative ability of children. While the design is very basic, it is an important design project towards shaping minds and brains of children as they grow"
m2kl5d7b9kfdx-AIRL-7-1,The Techno Cruiser is a combo car and computer for aged 5 - 10 children. Engaging lights and sounds will be utilized to captivate kids. An interactive touch screen could be added to introduce kids to early programming concepts. This screen will have puzzles and games to motivate the kids to engage as much as possible with a programming-like system while having fun playing with the car.
m2kl5d7b9kfdx-AIRL-7-2,"Race Realm will be a gaming system that combines a racing car with computer and video games. The game will have a separate remote control shaped like a wheel that connects to a computer console. Connecting to a computer console instead of a phone will allow for a higher level of computation and programming to run the game. This game will have unique racetracks and challenges that adapt using AI to challenge the kids as they level up and improve their racing skills. Rewards include special upgrades, customizations, and characters. This game will encourage creativity and innovation in a fun, exciting environment."
m2kl5d7b9kfdx-AIRL-7-3,"To ensure that the market has an option for female children to engage with there is Glamour Drive; a game designed for girls 10 - 14 where girls will play a driving simulator where they can drive their customizable character around a cute beach town. Challenges will include customizing NPC's cars, helping the characters' friends make it to their events on time, and racing against opponents. This will be available on the computer console and will utilize a fun soundtrack and special outfits and cars to unlock as they advance the storyline. This will encourage creativity and exploration in an environment that is ultimately fun and rewarding to be in."
m2kl678edtegg-AIRH-8-1,"Toy shop
Combines mobility and computation as children can stand and serve customers and stock the shop using pretend food items. For computation, there can be a till that allows children to calculate the price of the food."
m2kl678edtegg-AIRH-8-2,"Smart construction set 
use motorized components such as vehicles. Children can learn coding through creating sequences that make the vehicles move. hands on innovation"
m2kl678edtegg-AIRH-8-3,"exercise mat
with embedded sensors and led lights to create a fun exercise experience. Children could follow sequences on a mat such as maths games where they have to step on squares that are a certain number"
