"uniqueIndex","idea"
"lzl9zlrmqfong-AINLUT-9","FIRSTLY THE CHILDREN HAVE TO BUILD THE CAR AND BOAT THAT IS GIVEN TO THEM IN THE BOX. THIS WILL HELP TEST THEIR CONGNITVE ABILLITY"
"lzl9zlrmqfong-AINLUT-9","ONCE MADE YOU WILL HAVE TWO CARS AND MASSIVE BOAT WHICH INCLUDES A RAMP WHERE THE CARS CAN GO UP AND DOWN ON"
"lzl9zlrmqfong-AINLUT-9","ONCE MADE THE CHILD CAN PLAY WITH THE BOAT AND CAR THIS PRODUCT WILL HELP THEM USE THEIR COGNTIVE ABLITY ASWELL AS HAVING FUN ONCE MADE"
"lzla6behgbg69-AINHUT-10","Idea one is a giant inflatable that could be installed on a river or something similar, it would have obstacles and puzzles throughout"
"lzla6behgbg69-AINHUT-10","The next is a project for them to assemble with help to create a hot air balloon capable of carrying a toy"
"lzla6behgbg69-AINHUT-10","The next is a game that can be set up outside consisting of balloons,it is a team game where they have top solve puzzles while also keeping balloons allocates"
"lzla6ihygk7vt-AIRLUT-11","buildable kit with various instructions to assemble a model cars. the electronic elements can include educational games focussing on logic"
"lzla6ihygk7vt-AIRLUT-11","math racer - a racing game where the cars speed is determined by solving math related questions connected to the device"
"lzla6ihygk7vt-AIRLUT-11","a storybook adventure car: a toy car that takes children throgh an interatctive story book experience on a tablet or computer"
"lzla74qpaz7ta-AIRHUT-12","Colorful Bunny that uses coloured lights combinations - when the child presses a specific light sequence the bunny hops or jumps forward"
"lzla74qpaz7ta-AIRHUT-12","Rocket launcher - child solves a mathmatical problem and then the rocket launches - the fast the child solves the problem the higher the rocket goes. Children can chase after the rocket to retrieve it"
"lzla74qpaz7ta-AIRHUT-12","Rocket launcher math action station - similar to above but in order for the child to provide the correct answer to the math question they have to jump on a series of coloured of numbered matts to input"
"lzla7na0nl5b1-AIRLHD-15","Turbo Tech Smart Car: An interactive toy combining racing fun with educational games. The touchscreen computer syncs with the car, unlocking tracks and features through coding and solving problems fostering STEM skills."
"lzla7na0nl5b1-AIRLHD-15","RoboRacer STEM Lab: A toy to build and program robot cars with modular parts and an intuitive app. Drag-and-drop coding teaches tech concepts like sensors, motors, and sequences, fostering creativity and exciting STEM skills."
"lzla7na0nl5b1-AIRLHD-15","Circuit Cruiser Adventure Set: Kids build cars using snap-together parts and design custom circuits. The app guides them in creating light patterns, sound effects, and sensor triggered actions, enhancing their understanding of electrical circuits."
"lzla807647vne-AIRHHD-16","Introducing """"Math Splash"""", a series of pool toys that would comprise of aquatic creatures of different sizes, colors and species, that would read a different mathematical number and operations. These toys will be scattered throughout the area of the pool where the children are in. The Math Splash would include further instructions or challenges that will be read out by an adult. The children will then swim around to collect the relevant number or operation toys, build equations and/or solve the problems as asked by the adult within a set time period. This would help children not only have fun and learn some math while spending time at the pool, but will also give them the joy of learning more about the different underwater species that our toys would be designed as."
"lzla807647vne-AIRHHD-16","Introducing """"Math Dancing"""", this is like twister, but with numbers. The mat contains numbers from 0 to 24, arranged in a 6x4 format. The referee will spin the spinner to determine a math problem to solve. Once the child solves the problem, they put their limb on the correct number that is on the mat. This will ensure they have a great time and also twist their bodies and minds to achieve victory!"
"lzla807647vne-AIRHHD-16","A Modified Hopscotch: Scotchomatics! The children will be able to build a customizable hopscotch grid using foam tiles provided. Each tile would provide either number or operations or even blank tiles and wild tiles. The foam tiles will be provided along with erasable markers which will help children create newer equations as they grow. Children will solve these equations by hopping by the tiles as they progress through the grid. There will be wild tiles on the way, and if the kids step on this they will have additional perks, for example, adding two more jumps. Some bonuses would also include physical activities like doing jumping jacks. This design would blend mental stimulation with physical activity, and guaranteed fun!"
"lzla9k806niyx-HMNHUT-18","For mobility, I would create a toy truck that a child of this age group could fit in that has a small screen built into it and an automated voice that will ask the child simple math questions. The child will choose a question, the computer will ask the question and provide the solution to the problem. For every question the child answers correctlt, the truck will move forward. If the child answers it incorrectly, the truck will not move."
"lzla9k806niyx-HMNHUT-18","For flotability, I would create a floating device that consists of two intertubes. This way two children can float together in the pool, which will encourage teamwork and the children may feel safer in the water if they have a partner to float with."
"lzla9k806niyx-HMNHUT-18","I would create a scooter that has breaks on the handles, which would be more child safe and would teach them how to modulate their speed, and help to reduce the possibility of falling or having an accident."
"lzlado4pvkvq0-HMNLUT-17","A car and boat hybrid, where a nice looking sport car tires, can fold-in horizontally and become a propeller with all four tires enabling the car to move as a boat on water as fast as possible. With the tires rotating in a circular motion."
"lzlado4pvkvq0-HMNLUT-17","Another toy idea can be hull like shaped car that also has wheels attached. The design will allow the car transform to a boat completely by retracting the tires back into the body of the hull."
"lzlado4pvkvq0-HMNLUT-17","A monster truck kind of car with huge tires that can also act as balloons on water. Moves normally on land as tires and can also float on water, with a lot of splashing to it."
"lzmejpdvcmhtt-HMRHUT-20","A computer like building blocks, like LEGO, with all its parts and functions, tjat allows the child to play and learn."
"lzmejpdvcmhtt-HMRHUT-20","A computer program that turns child's play into algorithms so that they an relive the experience more than one time, and with the real or virtual friends."
"lzmejpdvcmhtt-HMRHUT-20","Learning code by doing tasks around the house, on the playground or at schoolm much like a discovery game, by solving puzzles."
"lzmelmwnyxwh6-HMNLHD-21","Toy 1: can be used on land like a car and in water like a boat. It switches between the two depending on its environment. The child can control it via a remote."
"lzmelmwnyxwh6-HMNLHD-21","Toy 2: a boat on big monster wheels that can travel through water but also jump in and out of the water. Can ride on water like they're jumps like a monster truck"
"lzmelmwnyxwh6-HMNLHD-21","Toy 3: a car that can drive on water with its wheels and transfrom into a submarine and dive down"
"lzmem4tmlxpa6-HMNHHD-22","Think Barbie car, but boat! This would be a stylish """"speed boat"""" that could easily sit two children under the age of 11 and would be able to be maneuvered using a pedal and steering wheel similar to a toy car. It will have a small rudder attached to it that will turn on or off when the key is turned in the ignition."
"lzmem4tmlxpa6-HMNHHD-22","Underwater Bubble! A plastic ball that seats one child and will float just under the surface of water. It has a motor that will propel it around the pool or lake so children can comfortably see what is going on underwater."
"lzmem4tmlxpa6-HMNHHD-22","Mermaid Tail! A fabric mermaid tail that is filled with slightly buoyant material to help keep children relatively close to the surface, yet it is designed in a way that they can swim like a mermaid to move around water."
"lzmemasyvxe69-HMRLHD-23","A car that can be pre - programmed for a set track or course around a room or yard to enjoy"
"lzmemasyvxe69-HMRLHD-23","a car with preset tricks or sounds that are unlocked by completing tasks involving maths, engligh or general knowledge that boosts education in a fun way"
"lzmemasyvxe69-HMRLHD-23","A computer game that educates the user about car mechanics / physics. i.e. bigger engine means more power. How important hybrid or electric engines are. The inportance of oils / lubricants. How the exhausts can be reduced."
"lzmematbc1qui-HMRHHD-24","A CAR TOY THAT MOVES THE DISTANCE YOU ENTER INTO ITS COMPUTER E.G. IF YOU WANT TO MOVE 100 YARDS, YOU ENTER THAT ON THE CAR COMPUTER AND IT WILL GO THAT FAR."
"lzmematbc1qui-HMRHHD-24","A TOY KANGAROO THAT JUMPS INTO THE AIR ONLY WHEN YOU GET A MATHEMATICAL QUESTION CORRECT E.G. 99 DIVIDED BY 3 OR 100 MINUS 41. NOTHING TOO DIFFICULT."
"lzmematbc1qui-HMRHHD-24","A HELICOPTER TOY THAT YOU TRY TO LAND PERFECTLY ONTO THE LANDING SPACE USING MATHS E.G. CALCULATING WHEN TO DROP DOWN, HOW FAST YOU SHOULD BE GOING TO NOT CAUSE ANY ISSUES ETC."
"lzmemnrovfsmi-AINLUT-25","Transforming land-to-water vehicle: A simple toy, that switches between car and boat, with room for passengers and will float on water."
"lzmemnrovfsmi-AINLUT-25","STEM Kit: A build yourself car-boat hybrid with simplified parts for younger children, with additional add on elements, which are waterproof including lights and propellers."
"lzmemnrovfsmi-AINLUT-25","Coding Car/Boat; A programmable car-boat toy with a simplified coding interface for kids, introducing them to basic coding concepts and terrain ability."
"lzmenbcnr3rhf-AIRLUT-27","A childs toy car that can be controlled by a small user friendly computer such as a Raspberry PI. The computer will be equipped with child friendly programming software to teach coding basics. A rechargeable battery will be included to allow the toy to be convenient and eco friendly. The design will be fun and promote stem education. it will have chunky wheels and will be bright contrasting colours for each part of the car. The car will be equipped with sensorws to map the room and will help the child navigate the room and plot routes"
"lzmenbcnr3rhf-AIRLUT-27","A colourful childs computer. Includes pre installed software aimed as designing and racing cars. The design software will offer the drag and drop elements and allow children to customers the car shapes, colours and features. It will include educational mini lessons on aerodynamics, weight distribution and speed and will have a racing mode where children can race their cars on different tracks. Challenges and puzzles will be included in the design and racing phases where the children will optimise the car for different conditions"
"lzmenbcnr3rhf-AIRLUT-27","A ride on childrens car with an onboard augmented reality computer. This will be a vehicle resembling a car or spaceship or snimal. It will be made out of plastic and rubber. It will include a rechargeable battery and will have an onboard child friendly computer with a touch screen mounted on the dashboard. This will project a virtual route overlaid on the real world. This can be adventurous tracks, treasure hunts or educational paths which will help increase the childs cognitive ability. There will be a suite of AR based games accessible via the touch screen such as a math adventure or letter hunt"
"lzment0t3dfsl-AIRHUT-28","""""math mat adventure"""" - a set of physical mats with numbers and math symbols on them along with an interactive app that guides kids through various challenges. Each challenge requires children to solve math problems by jumping, hopping and stepping on the correct mats. This can promote physical activity, computation and help with cognition."
"lzment0t3dfsl-AIRHUT-28","""""math balance beam"""" - a set of balance beams that can be assembled into different configurations. A series of cards that have numbers and math symbols on them can be placed at different spots along the beams. The aim is for the child to be given a set of equations and then walk along the beam to pick up the numbers and symbols they need to achieve the number. This can be graded depending on child age."
"lzment0t3dfsl-AIRHUT-28","""""math quest VR"""" - Interactive VR headset game. The VR headset has room mapping capabilities to create an immersive learning environment. The game will provide different quests that must be progressed thorough by solving maths problems by looking around the room for answers. For example an equation could be shown, and answers are placed/hideen around the room. This could encourage the child to crawl, climb, reach and could include problem solving, for example VR dice that would have to be rotated to find the right numbers, you could have to pick the right number but only in a certain colour if many different colours were used."
"lzmeo2fxxfztw-AINHHD-30","Floating Adventure scooter - this looks like a scooter but it transforms into a floating raft. On land it operates like a regular scooter but when near water it converts to a buoyant raft with a simple mechanism."
"lzmeo2fxxfztw-AINHHD-30","sky - sea glider- This is a lightweight glider plane that kids can throw. The cool thing is when it lands on water it reveals special floating wings which allows it to glide across the water."
"lzmeo2fxxfztw-AINHHD-30","Turbo Turtle Walker - This is a ride on toy inspired by a turtle. On land kids sit on it and move around. The wheels come off when near water and it can become a stable and safe floating toy for use in water. Parental supervision is required."
"lzmeoppirisvo-AIRLHD-31","Fantasy Driving Adventure - The child sits at the """"front"""" of the car, it has steering wheel, break, horn and key + ignition. The screen in front of them will be the main menu, selection of different driving areas that are fantasy, space, candy land, fairy land, underwater, etc. The screen is interactive and touch screen so the children and click on a character or an item they pass to interact with it."
"lzmeoppirisvo-AIRLHD-31","Interactive Memory Game - a car themed memory game, like Bop it. It will have an interactive display screen that will showcase the commands and children will have to follow the commands. They could turn the wheel, honk the horn, press on the break, turn the key in the ignition, flash the lights etc. The screen will also show the high score to keep it competitive and fun. The music will be funky and fun to really entice the kids."
"lzmeoppirisvo-AIRLHD-31","Health and Safety promotion game - this one will be marketed as educational and may be targeted especially for schools. It will teach kids about Road Safety from an early age The game could show various scenarios where kids will need to make safe driving decisions and can be rewarded with stars or coins that can then be used to customise their vehicle or unlock new lands to drive through. There will be an interactive touch screen with a character voice guiding them first through safety videos or demos and then helping them as they make decisions."
